Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
R1 (Time --- Spread): 2017-08-25T12:38:19.225000-07:00 --- 0.1429
R2 (Time --- Spread): 2017-08-25T12:38:19.240000-07:00 --- 0.1829
R1 (Time --- Spread): 2017-08-25T12:38:21.041000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:22.773000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:24.543000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:26.136000-07:00 --- 0.1429
R3 (Time --- Spread): 2017-08-25T12:41:00.831000-07:00 --- 0.4537
R4 (Time --- Spread): 2017-08-25T12:41:00.835000-07:00 --- 0.1213
R3 (Time --- Spread): 2017-08-25T12:41:02.631000-07:00 --- 0.4404
R4 (Time --- Spread): 2017-08-25T12:41:02.636000-07:00 --- 0.1081
R3 (Time --- Spread): 2017-08-25T12:41:04.425000-07:00 --- 0.4272
R3 (Time --- Spread): 2017-08-25T12:41:06.167000-07:00 --- 0.4006
R3 (Time --- Spread): 2017-08-25T12:41:07.912000-07:00 --- 0.3476
R3 (Time --- Spread): 2017-08-25T12:41:09.635000-07:00 --- 0.2945
R3 (Time --- Spread): 2017-08-25T12:41:11.418000-07:00 --- 0.2414
R3 (Time --- Spread): 2017-08-25T12:41:13.085000-07:00 --- 0.1884
R3 (Time --- Spread): 2017-08-25T12:41:14.888000-07:00 --- 0.1751
R3 (Time --- Spread): 2017-08-25T12:41:16.599000-07:00 --- 0.1220
R1 (Time --- Spread): 2017-08-25T12:42:53.531000-07:00 --- 0.1508
R1 (Time --- Spread): 2017-08-25T12:42:55.085000-07:00 --- 0.1508
R1 (Time --- Spread): 2017-08-25T12:42:56.762000-07:00 --- 0.1508
R1 (Time --- Spread): 2017-08-25T12:42:58.388000-07:00 --- 0.1508
R1 (Time --- Spread): 2017-08-25T12:43:00.330000-07:00 --- 0.1508
